Math;Jika x+ay=b, 2x+by=a, dan 3x+aby=4, maka a+b=...;0;2;4;6;C
Math;Fungsi f(x) = 3 sin x + 3 cos x yang didefinisikan pada interval (0,2π) mencapai nilai maksimum untπ/6;π/6;π/4;π/3;π/2;B
Math;Jika f(x) = x/2 + 1/2 dan g(x) = 2x-1/3, maka nilai x yang memenuhi |f(x) = g(x)| < 2 adalah...;-17 < x < 17;x < -7 atau x > 17;-7 < x < 17;-17 < x < 7;C
Biologi;Lapisan sel mati yang terdiri atas beberapa lapisan jaringan epidermis pada akar udara tanaman anggrkutikula;kutikula;trikom;spina;velamen;D
Biologi;Pada klasifikasi Paramecium yang dilakukan secara molekular, para ahli menggunakan parameter genetikmikronukleus dan makronukleus;mikronukleus dan makronukleus;mikronukleus;makronukleus;plastida;A
Biologi;Seleksi alam yang mengarah pada proses spesiasi tidak terkait dengan...;tekanan lingkungan;variasi genetik individu;kemampuan reproduksi;sifat yang diturunkan;A
Biologi;Motilitas pada ekor sperma dikendalikan oleh struktur aksonema yang disusun oleh organel sel, yaitu.lisosom;lisosom;mitokondria;badan Golgi;mikrotubula;B
Fisika;Sebuah pemanas air dengan spesifikasi 1000 watt 220 volt digunakan untuk memanaskan air sampai mendi15;15;60;35;90;B
Fisika;Unsur radioaktif 221/87 Fr memiliki waktu paruh 5 menit. Pada awalnya unsur ini memiliki laju peluru1,5 x 10^13;1,5 x 10^13;6,5 x 10^12;1,5 x 10^14;2,1 x 10^14;C
Fisika;Diameter pupil mata manusia normal adalah 2,0 mm. Suatu pencahayaan menggunakan panjang gelombang 502,02;2,02;1,82;1,22;0,07625;D
Kimia;Senyawa hidrokarbon dibakar sempurna dengan oksigen berlebih menghasilkan 44 gram karbondioksida danC2H6;C2H6;C4H6;C3H6;C1H2;B
Kimia;Larutan buffer dibuat dengan melarutkan 200 mL asam asetat 0,15Mdan 100 mL natrium asetat 0,25 M. Pe4,7 - log 1,75;4,7 - log 1,75; 4,7 - log 1,25;4,7 - log 1,5;4,7 + log 1,5;A
